Países,Tasa de mortalidad en siniestros de tránsito por cada 100 000 habitantes,Tasa de mortalidad en siniestros de tránsito por cada 100 000 vehículos motorizados,Tasa de mortalidad en siniestros de tránsito por cada 1 000 000 kilómetros por vehículo[6],Total fallecidos año más reciente (ajustado/estimado por el OMS),"Año, fuente (fuente principal: Reporte del OMS de 2015 Informaciones de 2013)",Nivel de Ingreso (según el reporte de la OMS de 2015),Tránsito por el lado izquierdo o derecho
Mundo,174,,,1 250 000,,,
África,266,574,,246 719[7],,,
Mediterráneo Oriental,199,139,,122 730,,,
Pacífico Oeste,173,69,,328 591,,,
Sudeste Asiático,170,101,,316 080,,,
América,159,33,,153 789,,,
Europa,93,19,,84 589,,,
Afganistán,155,7224,,4 734,2013,Bajo,Derecho
Albania,151,1072,,478,2013,Medio,Derecho
Alemania,43,68,49,3540,2013,Alto,Derecho
Argelia,238,1278,,9 337,2013,Medio,Derecho
Andorra,76,79,,6,2013,Alto,Derecho
Angola,269,992,,5 769,2013,Medio,Derecho
Antigua y Barbuda,67,20,,6,2013,Alto,Izquierdo
Arabia Saudita,274,1197,,7898,2013,Alto,Derecho
Argentina,136,243,,5 619,2013,Medio,Derecho
Armenia,183,182,,546,2013,Medio,Derecho
Australia,54,73,52,12 52,2013,Alto,Izquierdo
Austria,54,71,58,455,2013,Alto,Derecho
Azerbaiyán,10.0,83,,943,2013,Medio,Derecho
Bahamas,138,36,,52,2013,Alto,Izquierdo
Baréin,80,196,,107,2013,Alto,Derecho
Bangladés,136,1020.6,,21 316,2013,Bajo,Izquierdo
Barbados,67,169,,19,2013,Alto,Izquierdo
Bielorrusia,137,329,,1282,2013,Medio,Derecho
Bélgica,67,10.7,73,746,2013,Alto,Derecho
Belice,244,26,,81,2013,Medio,Derecho
Benín,277,81772,,2855,2013,Bajo,Derecho
Birmania,20.3,250.8,,10 809,2013,Bajo,Derecho
Bután,151,1672,,114,2013,Medio,Izquierdo
Bolivia,232,2052,,3476,2013,Medio,Derecho
Bosnia y Herzegovina,177,767,,676,2013,Medio,Derecho
Botsuana,236,916,,477,2013,Medio,Izquierdo
Brasil,234,575,,46 935,2013,Medio,Derecho
Bulgaria,83,172,,601,2013,Medio,Derecho
Burkina Faso,30.0,3281,,5 072,2013,Bajo,Derecho
Camboya,174,1072,,2 635,2013,Bajo,Derecho
Camerún,276,13851,,6136,2013,Medio,Derecho
Canadá,60,95,62,2114,2013,Alto,Derecho
Cabo Verde,261,229,,130,2013,Medio,Derecho
Catar,152,50.9,,330,2013,Alto,Derecho
República Centroafricana,324,43365,,1495,2013,Bajo,Derecho
Chad,241,497,,3089,2013,Bajo,Derecho
Chile,124,511,,2179,2013,Alto,Derecho
China,188,1045,,261 367,2013,Medio,Derecho
Colombia,168,833,,8107,2013,Medio,Derecho
Congo,264,1063,,1174,2013,Medio,Derecho
Islas Cooks,242,40.2,,5,2013,Medio,Izquierdo
Corea del sur,93,20.6,156,4777,2014[8],Alto,Derecho
Costa de Marfil,242,8289,,4924,2013,Medio,Derecho
Costa Rica,139,384,,676,2013,Medio,Derecho
Archivo:Flag of Croacia.svg Croacia,92,211,,395,2013,Alto,Derecho
Cuba,75,1337,,840,2013,Medio,Derecho
Chipre,52,92,,59,2013,Alto,Izquierdo
República Checa,61,85,139,654,2013,Alto,Derecho
República Democrática del Congo,332,64054,,22 419,2013,Bajo,Derecho
Dinamarca,35,67,4,196,2013,Alto,Derecho
Dominica,153,447,,11,2013,Medio,Izquierdo
